,VFINX,VEXMX,NAESX,VEURX,VPACX,VBINX,VIVAX,VEIEX,VIMSX,VISGX,VISVX,QQQ,VBIAX,VGSLX
2013-12-31,0.025304446184684252,0.0021941322403202096,-0.0033804017979723114,0.002256329478010348,-0.020324747090684207,-0.0031856129762434775,-0.0028280496963641044,-0.028277610136478643,0.006348982662615948,-0.005543114495530629,0.0009824599359641861,-0.005792566933041452,0.0003443017949525274,-0.01369622106210268
2014-01-31,-0.03453217695859761,0.019671865810956122,-0.0033374163061794977,-0.009045540126357294,-0.02969650271937285,0.0071689094118431475,0.003166806224516032,-0.026837008364973915,0.003677553926345601,0.004204802002003733,-0.0037582215413210045,0.02015665719885242,-9.355438529703997e-05,0.05136269039084692
2014-02-28,0.04570348949149778,0.0037586654714181003,-0.0019507075771200005,0.027691186757106058,-0.019480303364653506,0.0007891669543786776,-0.004828255949047566,-0.023167373478992462,0.01207715655583036,-0.006706173804260196,-0.0012724211448014305,-0.007782333676655533,-8.770072301300322e-05,-0.004025010362874087
2014-03-31,0.00840157999701469,-0.016188264220015864,0.004221589929299028,-0.012943997806290857,0.005520774986932009,-0.0006973292166074841,0.016246613250955257,0.04140078210491478,-0.010284898697549201,-0.004485411426313941,0.0028102300016114197,-0.012526012941795369,0.00017597684048146524,-0.00238649245737958
2014-04-30,0.007398441271312566,-0.0336753028656844,0.003130393998933407,0.02280996384979591,-0.01310252180515982,0.002981012731389397,-0.0013928480464533224,0.005290225559419502,-0.0010129501794269727,-0.011496107817482476,-0.0018116938699155056,0.00372147824454356,-0.00011697093889963955,0.025585335999622965
2014-05-30,0.02344592198581558,-0.010640351086800925,-0.0025310448252762654,-0.012456337188994662,0.024695973798752192,0.0039855241263784865,-0.004817751555008352,0.017535466788981435,0.0043062818311430245,-0.00972336036361932,0.0024365470894297456,0.012973044691098334,0.00021441825645567708,-0.009794883417218628
2014-06-30,0.02068666047202056,0.021823594582922143,0.005774211771850883,-0.02452921679394774,0.022833393770812456,0.0007891626473277187,-0.0008421371077930728,0.005139940338827118,-0.004613964800953149,0.009702832577697329,0.0022410533289359408,-0.0014746009018137655,-0.00015148312204048622,-0.02150907987459048
2014-07-31,-0.013783472967243632,-0.02887001828406765,-0.00528988707244412,-0.022054186816329424,0.038844358410097285,-0.0003711055771175621,0.00362671787419455,0.040404448262305104,0.0035368780435178562,-0.001346661981198323,-0.005492089062253645,0.03158967002433697,-0.00016814978044992802,0.04022040698750073
2014-08-29,0.0400237224060262,0.00560036522441109,0.0015796637335013033,-0.033483611311834124,-0.011891461427809023,0.0044830808104333805,0.0006539502912571438,0.020907038863005878,0.001554666152105498,-0.0033247599465078825,0.0020271101728747756,-0.004956283827884517,-7.727431241724356e-05,-0.02550532477733011
2014-09-30,-0.013995758936595154,-0.03552544544586457,-0.002161031691033065,-0.020240478297731696,-0.012381801166847034,-0.002194797614684439,0.0009249309073755055,-0.020379596961887535,0.0039996620038672895,0.0050012242048008484,-0.012692240902591488,0.015589695094112,0.00023029635339203575,-0.006987965542266827
2014-10-31,0.0243836634796783,0.013892328939608435,0.004762609057160645,-0.04827585848911997,0.031634487072798465,0.004951117264197943,-0.0009088446011743384,0.010840048644991806,-0.0004007122693339485,-0.005915325457649563,0.006084398235900838,-0.005099582896504019,-0.00012428180545490108,0.04125478984780348
2014-11-28,0.02697010782104931,-0.016619193901227416,-0.0020643539579727286,-0.0012729625270002064,-0.048651065194415595,0.0026892569454521464,0.000682898106083199,-0.005606773106525105,0.009789177015524297,-0.004541099555234527,-0.007171154998197019,0.012733132786624905,0.0002833790076471922,0.0001056824940438815
2014-12-31,-0.002526765997379605,0.012432073024222903,0.00270942961364979,-0.04491483588026636,0.002149221281696461,0.0011606453255713996,0.008818691794445714,-0.024863680566662716,-0.0022330117288308286,-0.0005023975848647173,0.0006419164087685218,-0.010820594374832978,-3.2794921362215036e-05,0.005000870757336842
